HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
PHI,NYG,22.0,21.0,7,1.0,0.0,16.8333333333,23.5,18.3333333333,21.3333333333,27.555,29.01,44.1,44.8,1.0
ATL,DET,22.0,23.0,7,0.0,1.0,26.6,27.0,21.8,23.5,29.38,30.8816666667,39.16,42.0,0.0
CIN,CLE,34.0,37.0,7,0.0,1.0,27.1666666667,21.5,21.5,22.5,30.515,32.805,39.3,35.45,0.0
HOU,GB,20.0,35.0,7,0.0,1.0,32.4,24.3333333333,23.2,20.1666666667,33.554,26.2866666667,49.14,40.0,0.0
NO,CAR,27.0,24.0,7,1.0,0.0,23.0,25.5,22.8333333333,19.5,32.365,25.735,45.0,41.1833333333,1.0
NYJ,BUF,10.0,18.0,7,0.0,1.0,26.0,12.5,23.5,16.5,29.9616666667,27.105,54.1166666667,30.3,0.0
TEN,PIT,24.0,27.0,7,0.0,1.0,31.2,32.8,21.2,25.6,33.254,29.792,44.68,50.1,0.0
WAS,DAL,25.0,3.0,7,1.0,0.0,28.8333333333,18.0,29.0,19.0,27.4383333333,28.2533333333,45.9333333333,34.35,1.0
LV,TB,20.0,45.0,7,0.0,1.0,29.5,25.1666666667,21.1666666667,19.8333333333,30.1583333333,26.5183333333,41.6333333333,42.2833333333,0.0
DEN,KC,16.0,43.0,7,0.0,1.0,29.1666666667,20.0,24.5,18.2,31.09,29.558,53.5,36.18,0.0
LAC,JAX,39.0,29.0,7,1.0,0.0,20.8333333333,18.3333333333,22.0,17.8333333333,27.8916666667,26.0666666667,45.8666666667,39.5833333333,1.0
NE,SF,6.0,33.0,7,0.0,1.0,24.6666666667,21.8,22.0,23.6,31.9116666667,31.184,40.45,41.28,0.0
ARI,SEA,37.0,34.0,7,1.0,0.0,28.1666666667,27.6666666667,18.5,25.0,23.4533333333,28.785,25.7833333333,43.3333333333,1.0
LAR,CHI,24.0,10.0,7,1.0,0.0,21.3333333333,25.3333333333,20.6666666667,22.1666666667,30.405,30.4833333333,34.95,47.1666666667,1.0
CAR,ATL,17.0,25.0,8,0.0,1.0,26.2857142857,23.1428571429,23.8571428571,22.1428571429,30.82,31.34,43.1428571429,48.1,0.0
BAL,PIT,24.0,28.0,8,0.0,1.0,30.5,25.5714285714,21.5,16.2857142857,33.7733333333,25.8885714286,49.2666666667,36.1714285714,0.0
BUF,NE,24.0,21.0,8,1.0,0.0,19.1666666667,24.8571428571,22.5,23.8571428571,29.5483333333,30.5857142857,37.1833333333,50.2857142857,1.0
CIN,TEN,31.0,20.0,8,1.0,0.0,31.3333333333,23.2857142857,23.8333333333,23.7142857143,28.6983333333,32.7714285714,48.1666666667,39.9142857143,1.0
CLE,LV,6.0,16.0,8,0.0,1.0,28.5,28.5714285714,23.0,21.7142857143,31.7516666667,30.0557142857,48.7,43.8857142857,0.0
DET,IND,21.0,41.0,8,0.0,1.0,22.4285714286,26.0,18.2857142857,21.6666666667,26.4328571429,29.3416666667,33.2428571429,37.6333333333,0.0
GB,MIN,22.0,28.0,8,0.0,1.0,22.1428571429,32.8333333333,19.0,23.0,23.3128571429,32.7183333333,32.4,50.6666666667,0.0
KC,NYJ,35.0,9.0,8,1.0,0.0,12.1428571429,31.1428571429,16.5714285714,23.4285714286,26.8428571429,30.4142857143,29.5428571429,45.8571428571,1.0
MIA,LAR,28.0,17.0,8,1.0,0.0,25.1428571429,22.8571428571,22.4285714286,19.4285714286,30.75,27.1085714286,44.8285714286,32.8714285714,0.0
DEN,LAC,31.0,30.0,8,1.0,0.0,24.8333333333,19.3333333333,22.6666666667,19.1666666667,31.785,30.1716666667,46.7333333333,36.1,1.0
CHI,NO,23.0,26.0,8,0.0,1.0,30.0,19.7142857143,23.8333333333,19.7142857143,31.47,29.9542857143,55.4666666667,34.0428571429,0.0
SEA,SF,37.0,27.0,8,1.0,0.0,25.8571428571,33.8333333333,22.5714285714,24.0,32.8142857143,30.0066666667,42.6142857143,32.2,1.0
PHI,DAL,23.0,9.0,8,1.0,0.0,25.1428571429,23.2857142857,26.5714285714,22.1428571429,26.8557142857,29.4914285714,42.9428571429,42.8,1.0
NYG,TB,23.0,25.0,8,0.0,1.0,31.7142857143,17.4285714286,22.2857142857,18.1428571429,29.93,27.5071428571,44.0142857143,42.0857142857,0.0
SF,GB,17.0,34.0,9,0.0,1.0,31.2857142857,26.0,23.1428571429,22.75,32.6328571429,32.3625,49.9285714286,43.0625,0.0
ATL,DEN,34.0,27.0,9,1.0,0.0,21.0,26.125,18.8571428571,24.375,29.39,31.505,36.4428571429,41.9125,1.0
BUF,SEA,44.0,34.0,9,1.0,0.0,34.2857142857,24.75,24.4285714286,23.625,30.0885714286,30.405,36.1714285714,49.6875,1.0
IND,BAL,10.0,24.0,9,0.0,1.0,29.0,28.2857142857,19.8571428571,22.0,30.92,31.7842857143,43.7857142857,40.3857142857,0.0
JAX,HOU,25.0,27.0,9,0.0,1.0,20.75,19.25,17.625,18.375,23.665,24.08,35.3625,39.4,0.0
KC,CAR,33.0,31.0,9,1.0,0.0,22.375,31.625,21.625,23.625,30.335,30.525,44.5875,46.85,1.0
MIN,DET,34.0,20.0,9,1.0,0.0,25.2857142857,26.1428571429,21.4285714286,21.8571428571,28.3128571429,27.2385714286,39.4,39.5428571429,1.0
TEN,CHI,24.0,17.0,9,1.0,0.0,20.125,29.7142857143,19.5,24.2857142857,30.4475,28.07,33.95,49.2285714286,1.0
WAS,NYG,20.0,23.0,9,0.0,1.0,18.125,16.625,18.875,16.875,27.75625,25.72,41.375,33.2625,0.0
LAC,LV,26.0,31.0,9,0.0,1.0,26.7142857143,25.5714285714,23.1428571429,23.4285714286,32.5628571429,32.32,49.9,46.3142857143,0.0
ARI,MIA,31.0,34.0,9,0.0,1.0,26.8571428571,25.375,20.5714285714,22.625,30.4371428571,25.355,36.4428571429,37.7125,0.0
DAL,PIT,19.0,24.0,9,0.0,1.0,30.1428571429,23.125,21.1428571429,25.875,32.4314285714,27.56125,46.9857142857,40.7,0.0
TB,NO,3.0,38.0,9,0.0,1.0,29.4285714286,30.875,23.7142857143,22.375,31.9957142857,29.95125,49.7428571429,42.675,0.0
NYJ,NE,27.0,30.0,9,0.0,1.0,19.4285714286,11.75,22.1428571429,16.125,29.6785714286,27.025,39.0142857143,27.9375,0.0
TEN,IND,17.0,34.0,10,0.0,1.0,26.0,29.0,21.75,22.625,31.10375,27.88625,37.425,48.075,0.0
CAR,TB,23.0,46.0,10,0.0,1.0,27.7777777778,23.3333333333,21.3333333333,22.5555555556,28.7966666667,31.1977777778,39.1666666667,44.5,0.0
CLE,HOU,10.0,7.0,10,1.0,0.0,24.125,25.75,20.0,20.75,27.10625,29.07,40.3625,42.15,1.0
DET,WAS,30.0,27.0,10,1.0,0.0,19.125,24.625,19.25,22.5,28.63625,28.57375,37.95,40.725,1.0
GB,JAX,24.0,20.0,10,1.0,0.0,22.375,31.625,21.125,22.875,28.1675,33.09125,44.7625,49.9375,1.0
NYG,PHI,27.0,17.0,10,1.0,0.0,23.25,18.6666666667,21.625,19.2222222222,29.1925,28.7022222222,42.1375,41.2222222222,0.0
ARI,BUF,32.0,30.0,10,1.0,0.0,26.8888888889,29.25,24.0,25.875,30.5933333333,29.2675,48.8,42.925,1.0
LV,DEN,37.0,12.0,10,1.0,0.0,21.75,27.25,19.375,22.25,29.0075,31.6375,37.3625,49.9125,1.0
MIA,LAC,29.0,21.0,10,1.0,0.0,25.625,27.75,23.75,21.0,32.585,30.20375,46.3625,38.1375,1.0
LAR,SEA,23.0,16.0,10,1.0,0.0,34.25,24.125,24.125,23.5,29.77625,31.44375,34.775,44.375,1.0
NO,SF,27.0,13.0,10,1.0,0.0,25.0,30.5,22.1111111111,24.125,31.3555555556,33.04625,41.6111111111,51.5625,1.0
PIT,CIN,36.0,10.0,10,1.0,0.0,24.25,29.375,24.125,21.0,33.12125,31.6725,43.2625,45.925,1.0
NE,BAL,23.0,17.0,10,1.0,0.0,28.375,20.75,19.75,23.125,31.2125,30.54125,43.125,41.275,1.0
CHI,MIN,13.0,19.0,10,0.0,1.0,27.125,19.7777777778,21.875,19.7777777778,27.2225,30.7911111111,39.6,31.6555555556,0.0
SEA,ARI,28.0,21.0,11,1.0,0.0,29.5555555556,32.2222222222,25.8888888889,23.6666666667,29.2822222222,29.3833333333,42.4333333333,36.4666666667,1.0
BAL,TEN,24.0,30.0,11,0.0,1.0,27.6666666667,27.1111111111,22.8888888889,19.6666666667,27.9455555556,31.3377777778,46.0666666667,43.4666666667,0.0
CAR,DET,20.0,0.0,11,1.0,0.0,25.2222222222,23.3,22.3333333333,21.6,28.0844444444,30.433,40.6444444444,41.16,1.0
CLE,PHI,22.0,17.0,11,1.0,0.0,22.5555555556,24.0,21.6666666667,20.6666666667,29.0788888889,29.5288888889,37.4555555556,43.0222222222,1.0
HOU,NE,27.0,20.0,11,1.0,0.0,21.0,22.2222222222,23.3333333333,19.5555555556,30.1766666667,27.0277777778,41.7444444444,41.4333333333,1.0
JAX,PIT,3.0,27.0,11,0.0,1.0,30.1111111111,22.1111111111,21.1111111111,20.5555555556,31.5177777778,28.17,44.9888888889,43.2111111111,0.0
NO,ATL,24.0,9.0,11,1.0,0.0,27.0,30.1111111111,24.2222222222,23.3333333333,31.7011111111,32.4411111111,42.3888888889,47.6888888889,1.0
WAS,CIN,20.0,9.0,11,1.0,0.0,22.6666666667,20.0,23.2222222222,20.8888888889,32.6988888889,29.3911111111,38.4555555556,38.9222222222,1.0
DEN,MIA,20.0,13.0,11,1.0,0.0,27.8888888889,20.6666666667,20.5555555556,19.4444444444,30.2477777778,28.3644444444,37.8666666667,38.4,0.0
LAC,NYJ,34.0,28.0,11,1.0,0.0,13.4444444444,25.1111111111,16.3333333333,23.2222222222,26.6,32.2466666667,31.5,44.6333333333,1.0
IND,GB,34.0,31.0,11,1.0,0.0,30.7777777778,26.8888888889,22.1111111111,22.2222222222,32.9044444444,31.1122222222,48.6666666667,36.9666666667,1.0
MIN,DAL,28.0,31.0,11,0.0,1.0,22.6666666667,26.2222222222,25.1111111111,21.5555555556,28.1922222222,28.1422222222,41.4111111111,41.1222222222,0.0
LV,KC,31.0,35.0,11,0.0,1.0,31.7777777778,28.3333333333,23.6666666667,22.1111111111,29.5322222222,32.1644444444,47.7,49.5,0.0
TB,LAR,24.0,27.0,11,0.0,1.0,24.0,29.6,23.5555555556,22.2,31.6566666667,29.567,46.1111111111,41.5,0.0
DET,HOU,25.0,41.0,12,0.0,1.0,22.7,22.7,19.7,21.1,27.067,27.588,41.84,38.72,1.0
DAL,WAS,16.0,41.0,12,0.0,1.0,20.0,23.5,20.8,25.0,29.498,28.184,38.11,41.82,0.0
PIT,BAL,,,12,0.0,0.0,26.8,29.8,19.8,21.3,31.364,31.995,45.12,44.61,1.0
ATL,LV,43.0,6.0,12,1.0,0.0,28.6,25.2,22.4,23.2,31.703,31.15,51.22,39.58,0.0
BUF,LAC,27.0,17.0,12,1.0,0.0,26.0,27.2,23.7,23.8,32.65,30.554,46.17,48.54,0.0
CIN,NYG,17.0,19.0,12,0.0,1.0,19.5,21.3,19.5,22.7,28.975,32.343,40.67,36.92,1.0
IND,TEN,26.0,45.0,12,0.0,1.0,27.9,27.6,23.2,22.3,28.484,31.511,45.63,37.02,0.0
MIN,CAR,28.0,27.0,12,1.0,0.0,23.0,26.4,21.4545454545,21.8,30.9827272727,28.477,40.4454545455,43.01,1.0
NE,ARI,20.0,17.0,12,1.0,0.0,28.7,20.9,25.7,23.2,28.807,30.377,43.64,42.95,0.0
NYJ,MIA,3.0,20.0,12,0.0,1.0,26.4,14.9,20.2,16.7,30.164,26.272,38.46,32.9,0.0
JAX,CLE,25.0,27.0,12,0.0,1.0,23.8,20.2,20.3,19.9,29.72,27.684,41.58,41.97,0.0
DEN,NO,3.0,31.0,12,0.0,1.0,29.5,20.6,23.4,19.4,32.538,28.547,46.56,37.89,0.0
LAR,SF,20.0,23.0,12,0.0,1.0,23.8,24.3,22.0,23.4,31.474,31.804,41.83,46.83,1.0
TB,KC,24.0,27.0,12,0.0,1.0,32.1,29.0909090909,24.9,22.0,29.829,29.2854545455,48.49,42.2727272727,0.0
GB,CHI,41.0,25.0,12,1.0,0.0,19.1,30.8,18.8,22.0,30.122,32.363,30.31,48.24,1.0
